"Timestamp","Por favor, leia cuidadosamente os termos apresentados acima. Se achar que algo não está claro, não hesite em pedir mais informações. Caso concorde com os mesmos, marque a caixa abaixo apresentada","Senha","Ano de Nascimento","Género","Qual é a sua área de trabalho? ","Se sabe qual é o seu tipo de personalidade Myers-Briggs (teste disponível aqui: https://www.16personalities.com), por favor, indique-o aqui:","Costumo jogar videojogos...","Considero-me...","Normalmente prefiro...","Em que plataforma costuma jogar?","Quantas horas por semana passa a jogar videojogos?","Durante quanto tempo joga videojogos por cada sessão (preferencialmente)?","Que duração prefere que os jogos tenham?","Que tipo de perspectiva prefere nos videojogos que joga?","Que género costuma preferir? ","Dos seguintes títulos, qual possui os gráficos que o cativam mais?","Quando estou a jogar, gosto de explorar livremente o mundo do jogo para ver o que é que posso descobrir","Num jogo, gosto de poder ajudar outros jogadores e conhecer pessoas com os mesmos interesses","Gosto de competir diretamente com outros jogadores","Gosto de poder criar a minha própria personagem/avatar","Gosto de poder criar as minhas personagens e controlá-las/criar uma narrativa em torno delas","Gosto de poder experimentar outros estilos de vida e/ou carreiras profissionais ","Gosto quando um jogo me obriga a responder rapidamente à situação que me é exposta","Num jogo, gosto de ter a possibilidade de explorar lugares que não me são familiares","Gosto quando um dos elementos principais de um jogo consiste em colecionar objetos ","Gosto de poder jogar com os meus amigos, quer pela internet, quer no mesmo espaço físico","Gosto de poder jogar com pessoas que não conheço através da internet","Gosto quando um jogo apresenta uma mecânica de highscore","Gosto quando preciso de trabalhar em equipa para derrotar um oponente forte num jogo","Gosto quando um jogo apresenta gráficos realistas","Gosto da sensação de desafio quando a dificuldade de um jogo é elevada ","Gosto de ter de ""puxar pelos miolos"" para resolver puzzles e/ou estruturar estratégias ","Gosto de mostrar os meus skills perante outros jogadores","Gosto de poder experimentar situações sociais simuladas","Gosto de jogos que exijam que ponha vários sentidos a uso ao mesmo tempo (visão, audição, tacto)","Gosto de completar tudo num jogo (100% em todos os aspectos)","Gosto de ser convidado a seguir uma história","Gosto de ser convidado a seguir uma história, interagindo com ela, consequentemente alterando o rumo da mesma","Gosto de ser convidado a criar a minha própria história","Gosto de experienciar emoções fortes, como medo e terror, enquanto estou a jogar","Gosto de coleccionar coisas e gosto da sensação de conseguir obter um objecto há muito desejado","Para mim, a música é um factor extremamente importante num videojogo "
"2022/09/16 1:15:47 pm CET","Concordo com os termos apresentados acima","0","1998","Masculino","Outro Area/Estudante","ESFP","Todos os dias","Gamer hardcore","Jogos multiplayer que podem ser jogados individualmente, através da Internet","Xbox","Mais de 10 horas por semana","1 a 2 horas","Curto/Repetitivo","Não sei","Ação","Danganronpa - 2.5D Anime","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2022/09/16 3:08:03 pm CET","Concordo com os termos apresentados acima","1","1995","Masculino","Outro Area/Estudante","ESFJ","Ocasionalmente","Gamer casual","Jogos single player, mas às vezes peço ajuda a outras pessoas","Telemóvel e/ou tablet","0-5 horas por semana","1 a 2 horas","Curto/Repetitivo","Não sei","Simulação","The Witcher - 3D, foto-realista","2","3","4","5","4","3","2","1","2","3","4","5","4","3","2","1","2","3","4","5","4","3","2","1","2","3"
"2022/09/16 4:15:34 pm CET","Concordo com os termos apresentados acima","2","1996","Feminino","Investigação relacionada com videojogos","INTJ","Todos os dias","Algo entre hardcore e casual","Jogos multiplayer que podem ser jogados individualmente, através da Internet","PC","5-10 horas por semana","1 a 2 horas","Longo","3rd person","Simulação","Atelier Ryza - 3D, Cel-shaded, Anime","4","4","2","5","5","3","3","4","4","5","4","3","4","2","3","3","4","4","5","3","5","4","4","3","4","4"
"2022/09/16 4:33:19 pm CET","Concordo com os termos apresentados acima","3","1982","Masculino","Investigação relacionada com videojogos","ISTJ","Todas as semanas","Algo entre hardcore e casual","Jogos single player, em que jogo sozinho/a","PlayStation","0-5 horas por semana","Entre 30 minutos a 1 hora","Médio","3rd person","Desporto","Call of Duty - 3D,  foto-realista","2","1","1","1","1","1","4","3","3","2","1","5","2","5","5","5","2","1","5","4","2","2","1","4","3","5"
"2022/09/16 5:41:48 pm CET","Concordo com os termos apresentados acima","4","1999","Feminino","Outro Area/Estudante","ENFJ","Ocasionalmente","Nenhuma das anteriores","Jogos single player, mas às vezes peço ajuda a outras pessoas","PC","0-5 horas por semana","2 a 4 horas","Longo","3rd person","RPG","The Sims 4 - 3D, cartoony","4","2","3","5","5","5","4","5","3","2","1","2","3","1","4","2","3","4","3","5","5","5","5","4","3","5"
"2022/09/16 6:00:18 pm CET","Concordo com os termos apresentados acima","5","2000","Feminino","Investigação relacionada com videojogos","ENFP","Todas as semanas","Gamer casual","Jogos multiplayer, com todos os jogadores no mesmo espaço físico real","PC","0-5 horas por semana","Menos de 30 minutos","Médio","3rd person","Simulação","New Super Mario Bros. U Deluxe - 2D flat sideview com modelos 3D lowpoly","5","4","4","5","5","4","3","5","4","5","2","1","4","4","2","3","1","2","1","4","5","5","5","5","4","5"
"2022/09/16 6:24:03 pm CET","Concordo com os termos apresentados acima","10","2003","Masculino","Outro Area/Estudante","","Todos os dias","Gamer hardcore","Jogos single player, em que jogo sozinho/a","PlayStation","5-10 horas por semana","2 a 4 horas","Médio","Não sei","Ação","Stardew Valley - Pixelated, retro 8-bit, top down","4","3","4","3","2","3","5","4","2","4","4","3","3","2","5","5","4","3","4","4","4","4","3","5","3","5"
"2022/09/16 6:48:22 pm CET","Concordo com os termos apresentados acima","8","1997","Masculino","Outro Area/Estudante","INFP","Todos os dias","Gamer hardcore","Jogos single player, em que jogo sozinho/a","PlayStation","5-10 horas por semana","Entre 30 minutos a 1 hora","Curto/Repetitivo","3rd person","RPG","Stardew Valley - Pixelated, retro 8-bit, top down","3","2","1","3","3","2","5","4","4","2","2","5","2","3","5","4","2","4","5","3","4","4","3","5","4","5"
"2022/09/17 3:46:06 pm CET","Concordo com os termos apresentados acima","6","2000","Masculino","Outro Area/Estudante","ENFP","Todas as semanas","Gamer casual","Jogos single player, em que jogo sozinho/a","PC","Mais de 10 horas por semana","2 a 4 horas","Médio","3rd person","RPG","The Witcher - 3D, foto-realista","4","1","3","3","5","5","3","5","1","2","3","2","2","5","4","5","2","3","3","1","5","5","4","2","1","3"
"2022/09/17 3:46:09 pm CET","Concordo com os termos apresentados acima","11","1995","Masculino","Outro Area/Estudante","ISTJ","Todos os dias","Gamer casual","Jogos multiplayer que podem ser jogados individualmente, através da Internet","PC","Mais de 10 horas por semana","1 a 2 horas","Médio","1st person","RPG","The Witcher - 3D, foto-realista","5","4","3","4","3","3","4","5","4","5","3","3","5","3","4","4","3","2","3","1","4","4","3","3","4","5"
"2022/09/17 4:05:51 pm CET","Concordo com os termos apresentados acima","7","1994","Masculino","Outro Area/Estudante","","Raramente","Nenhuma das anteriores","Jogos single player, em que jogo sozinho/a","Não costumo jogar","0-5 horas por semana","Entre 30 minutos a 1 hora","Longo","Não sei","RPG","Call of Duty - 3D,  foto-realista","4","1","5","2","3","3","4","5","5","3","3","3","3","5","5","5","3","3","5","5","5","5","4","5","5","5"
"2022/09/17 4:48:59 pm CET","Concordo com os termos apresentados acima","12","1984","Masculino","Investigação relacionada com videojogos","","Ocasionalmente","Gamer casual","Jogos single player, em que jogo sozinho/a","PlayStation","0-5 horas por semana","Entre 30 minutos a 1 hora","Curto/Repetitivo","3rd person","Desporto","New Super Mario Bros. U Deluxe - 2D flat sideview com modelos 3D lowpoly","2","2","2","4","3","4","4","4","2","1","1","4","1","4","4","4","1","3","2","3","3","2","4","2","4","2"
"2022/09/17 5:07:32 pm CET","Concordo com os termos apresentados acima","13","1993","Masculino","Outro Area/Estudante","","Raramente","Nenhuma das anteriores","Jogos single player, em que jogo sozinho/a","Não costumo jogar","0-5 horas por semana","Entre 30 minutos a 1 hora","Longo","3rd person","RPG","The Sims 4 - 3D, cartoony","5","4","3","5","5","5","5","5","2","3","1","3","3","3","4","4","2","5","4","2","4","5","5","3","2","4"
"2022/09/17 5:42:47 pm CET","Concordo com os termos apresentados acima","9","1999","Masculino","Outro Area/Estudante","ENTP","Todos os dias","Gamer casual","Jogos multiplayer que requerem trabalho de equipa/clan play, através da internet","PC","5-10 horas por semana","1 a 2 horas","Médio","3rd person","Estratégia","The Witcher - 3D, foto-realista","4","3","5","2","3","2","4","4","2","5","5","4","4","4","5","5","4","3","2","4","4","4","3","3","4","5"
"2022/09/17 5:43:10 pm CET","Concordo com os termos apresentados acima","14","1999","Feminino","Outro Area/Estudante","","Ocasionalmente","Nenhuma das anteriores","Não sei","PC","0-5 horas por semana","Entre 30 minutos a 1 hora","Médio","Não sei","Estratégia","Danganronpa - 2.5D Anime","5","1","2","3","3","4","2","5","5","5","2","4","3","3","4","5","3","5","4","5","3","3","3","2","5","5"
"2022/09/17 5:56:36 pm CET","Concordo com os termos apresentados acima","15","2000","Feminino","Outro Area/Estudante","ENFP","Nunca","Nenhuma das anteriores","Não sei","Não costumo jogar","Nunca jogo videojogos","Nunca jogo videojogos","Curto/Repetitivo","Não sei","Nenhum dos anteriores/Não sei","New Super Mario Bros. U Deluxe - 2D flat sideview com modelos 3D lowpoly","2","1","2","4","4","3","3","3","4","5","5","3","1","1","3","4","1","1","4","4","4","4","3","1","1","5"
"2022/09/17 6:24:42 pm CET","Concordo com os termos apresentados acima","16","16/12/1996","Feminino","Outro Area/Estudante","ISFP","Todas as semanas","Algo entre hardcore e casual","Jogos single player, em que jogo sozinho/a","PC","0-5 horas por semana","2 a 4 horas","Longo","1st person","RPG","The Witcher - 3D, foto-realista","5","2","2","5","4","5","3","5","3","3","2","2","1","4","3","4","2","2","3","2","5","5","4","3","3","3"
"2022/09/17 7:13:35 pm CET","Concordo com os termos apresentados acima","17","2000","Feminino","Outro Area/Estudante","INFJ","Raramente","Gamer casual","Jogos multiplayer, com todos os jogadores no mesmo espaço físico real","Nintendo Switch","0-5 horas por semana","Menos de 30 minutos","Curto/Repetitivo","3rd person","Aventura","New Super Mario Bros. U Deluxe - 2D flat sideview com modelos 3D lowpoly","4","1","1","5","4","3","3","4","4","5","4","3","4","3","4","4","3","2","3","5","5","5","5","2","5","5"
"2022/09/17 7:41:49 pm CET","Concordo com os termos apresentados acima","19","2003","Feminino","Outro Area/Estudante","INFP","Todas as semanas","Gamer casual","Jogos single player, mas às vezes peço ajuda a outras pessoas","PlayStation","5-10 horas por semana","1 a 2 horas","Médio","1st person","Aventura","Call of Duty - 3D,  foto-realista","5","1","2","5","5","4","3","5","4","5","1","4","1","5","5","4","2","3","4","5","5","5","5","3","2","5"
"2022/09/17 7:42:12 pm CET","Concordo com os termos apresentados acima","18","2003","Feminino","Outro Area/Estudante","","Raramente","Nenhuma das anteriores","Jogos multiplayer, com todos os jogadores no mesmo espaço físico real","PlayStation","Nunca jogo videojogos","Entre 30 minutos a 1 hora","Curto/Repetitivo","3rd person","Racing","New Super Mario Bros. U Deluxe - 2D flat sideview com modelos 3D lowpoly","5","4","4","5","3","1","5","5","4","5","4","4","5","3","4","5","3","1","2","3","2","3","3","1","3","2"